index	rows	size	cost	plan	exec
no	10	0 bytes	1,19	0,17	0,04
btree	10	16 kB	1,19	0,19	0,04
hash	10	32 kB	1,19	0,19	0,04
no	100	0 bytes	2,43	0,19	0,06
btree	100	16 kB	2,43	0,21	0,06
hash	100	32 kB	2,43	0,21	0,06
no	1000	0 bytes	23,8	0,20	0,23
btree	1000	40 kB	8,33	0,23	0,03
hash	1000	48 kB	8,06	0,22	0,03
no	1900	0 bytes	44,18	0,21	0,40
btree	1900	64 kB	8,34	0,23	0,03
hash	1900	80 kB	8,06	0,22	0,03
no	10900	0 bytes	248,93	0,28	2,18
btree	10900	256 kB	8,34	0,30	0,04
hash	10900	528 kB	8,06	0,29	0,04
no	100900	0 bytes	2304,43	0,32	21,45
btree	100900	2200 kB	8,35	0,36	0,05
hash	100900	4112 kB	8,06	0,34	0,05
no	250900	0 bytes	5730,93	0,32	52,36
btree	250900	5384 kB	8,48	0,36	0,07
hash	250900	8208 kB	8,06	0,34	0,05
no	500900	0 bytes	11441,43	0,32	104,86
btree	500900	10 MB	9,58	0,36	0,07
hash	500900	16 MB	9,18	0,34	0,05
no	750900	0 bytes	17151,94	0,32	156,62
btree	750900	15 MB	12,51	0,36	0,08
hash	750900	21 MB	12,09	0,34	0,05
no	1000900	0 bytes	22862,44	0,32	207,72
btree	1000900	19 MB	12,51	0,36	0,07
hash	1000900	32 MB	12,09	0,34	0,05
btree	1250900	23 MB	12,51	0,38	0,09
hash	1250900	32 MB	12,09	0,36	0,05
btree	1750900	29 MB	16,54	0,39	0,10
hash	1750900	59 MB	16,12	0,36	0,06
btree	2250900	35 MB	16,54	0,39	0,08
hash	2250900	64 MB	16,12	0,36	0,05
btree	3250900	44 MB	20,57	0,39	0,09
hash	3250900	108 MB	20,14	0,36	0,06
btree	4250900	51 MB	24,6	0,43	0,09
hash	4250900	128 MB	24,17	0,41	0,06
btree	5250900	58 MB	28,63	0,44	0,09
hash	5250900	163 MB	28,2	0,41	0,06
btree	6250900	65 MB	32,66	0,44	0,17
hash	6250900	189 MB	32,23	0,41	0,07
btree	7250900	71 MB	36,68	0,43	0,14
hash	7250900	238 MB	36,25	0,41	0,07
