index	rows	size	cost	plan	exec
no	10	0 bytes	1,19	0,36	0,10
btree	10	16 kB	1,19	0,43	0,10
hash	10	32 kB	1,19	0,44	0,12
no	100	0 bytes	2,43	0,47	0,15
btree	100	16 kB	2,43	0,46	0,12
hash	100	32 kB	2,43	0,40	0,10
no	1000	0 bytes	23,8	0,34	0,29
btree	1000	40 kB	8,33	0,38	0,05
hash	1000	48 kB	8,06	0,36	0,04
no	10000	0 bytes	228,55	0,33	2,16
btree	10000	240 kB	8,34	0,36	0,06
hash	10000	528 kB	8,06	0,34	0,04
no	100000	0 bytes	2285,05	0,32	20,91
btree	100000	2184 kB	8,35	0,34	0,10
hash	100000	4112 kB	8,06	0,34	0,04
no	250000	0 bytes	5710,56	0,32	51,82
btree	250000	5360 kB	8,48	0,34	0,11
hash	250000	8200 kB	8,06	0,34	0,04
no	500000	0 bytes	11422,06	0,31	103,58
btree	500000	10 MB	8,48	0,35	0,10
hash	500000	16 MB	9,27	0,34	0,05
no	750000	0 bytes	17132,57	0,31	162,69
btree	750000	15 MB	12,51	0,35	0,11
hash	750000	21 MB	12,09	0,34	0,04
no	1000000	0 bytes	22843,07	0,32	229,96
btree	1000000	19 MB	12,51	0,35	0,12
hash	1000000	32 MB	12,09	0,35	0,04
no	1500000	0 bytes	34265,06	0,32	383,27
btree	1500000	26 MB	14,32	0,35	0,12
hash	1500000	42 MB	13,29	0,35	0,07
no	2000000	0 bytes	45685,07	0,32	538,44
btree	2000000	32 MB	16,54	0,35	0,12
hash	2000000	64 MB	16,12	0,35	0,10
no	3000000	0 bytes	68529,08	0,31	843,28
btree	3000000	42 MB	20,57	0,35	0,15
hash	3000000	87 MB	20,14	0,35	0,13
no	4000000	0 bytes	91370,27	2,64	1242,80
btree	4000000	49 MB	24,6	3,61	0,21
hash	4000000	127 MB	24,17	3,58	0,20
no	5000000	0 bytes	114213,71	2,63	1469,42
btree	5000000	56 MB	28,63	3,57	0,21
hash	5000000	130 MB	28,2	3,49	0,21
no	6000000	0 bytes	137055,69	2,57	1730,29
btree	6000000	63 MB	32,66	3,53	0,23
hash	6000000	180 MB	32,23	3,63	0,24
no	7000000	0 bytes	159899,58	2,59	2073,20
btree	7000000	69 MB	36,68	3,55	0,27
hash	7000000	232 MB	36,25	3,54	0,27
no	8000000	0 bytes	182740,72	2,57	2559,39
btree	8000000	76 MB	40,71	3,61	0,30
hash	8000000	253 MB	40,28	3,61	0,31
no	9000000	0 bytes	205584,42	2,56	2887,62
btree	9000000	82 MB	44,74	3,74	0,33
hash	9000000	258 MB	44,31	3,54	0,30
no	10000000	0 bytes	228426,98	2,49	2936,80
btree	10000000	89 MB	48,77	3,65	0,32
hash	10000000	268 MB	48,34	3,44	0,30
btree	29999998	215 MB	129,59	5,55	0,68
hash	29999998	947 MB	129,57	5,63	0,71
btree	39999998	277 MB	169,26	5,51	0,90
hash	39999998	1207 MB	169,03	6,69	1,94
btree	49999998	339 MB	209,58	7,77	2,12
hash	49999998	1604 MB	209,63	8,44	2,94
btree	59999998	401 MB	250,13	9,61	4,29
hash	59999998	1936 MB	246,64	9,32	4,08
